,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
57,2020,MI,0,7,118000,USD,118000,US,100,US,1
58,2020,SE,0,7,120000,USD,120000,US,50,US,2
59,2020,MI,0,7,138350,USD,138350,US,100,US,1
60,2020,MI,0,5,110000,USD,110000,US,100,US,2
61,2020,MI,0,5,130800,USD,130800,ES,100,US,1
62,2020,EN,2,7,19000,EUR,21669,IT,50,IT,0
63,2020,SE,0,7,412000,USD,412000,US,100,US,2
64,2020,SE,0,5,40000,EUR,45618,HR,100,HR,0
65,2020,EN,0,7,55000,EUR,62726,DE,50,DE,0
66,2020,EN,0,7,43200,EUR,49268,DE,0,DE,0
67,2020,SE,0,6,190200,USD,190200,US,100,US,1
68,2020,EN,0,7,105000,USD,105000,US,100,US,0
69,2020,SE,0,7,80000,EUR,91237,AT,0,AT,0
70,2020,MI,0,7,55000,EUR,62726,FR,50,LU,0
71,2020,MI,0,7,37000,EUR,42197,FR,50,FR,0
72,2021,EN,0,7,60000,GBP,82528,GB,50,GB,2
73,2021,EX,0,0,150000,USD,150000,IN,100,US,2
74,2021,EX,0,3,235000,USD,235000,US,100,US,2
75,2021,SE,0,7,45000,EUR,53192,FR,50,FR,2
76,2021,MI,0,0,100000,USD,100000,US,100,US,1
78,2021,MI,1,5,270000,USD,270000,US,100,US,2
79,2021,EN,0,0,80000,USD,80000,US,100,US,1
80,2021,SE,0,5,67000,EUR,79197,DE,100,DE,2
81,2021,MI,0,5,140000,USD,140000,US,100,US,2
82,2021,MI,0,7,68000,CAD,54238,GB,50,CA,2
83,2021,MI,0,5,40000,EUR,47282,ES,100,ES,0
84,2021,EX,0,7,130000,EUR,153667,IT,100,PL,2
85,2021,MI,0,5,110000,PLN,28476,PL,100,PL,2
86,2021,EN,0,0,50000,EUR,59102,FR,50,FR,1
87,2021,MI,0,5,110000,USD,110000,US,100,US,2
88,2021,SE,0,0,170000,USD,170000,US,100,US,2
89,2021,SE,0,0,80000,USD,80000,BG,100,US,0
90,2021,SE,0,0,75000,EUR,88654,GR,100,DK,2
91,2021,EN,0,2,65000,EUR,76833,DE,100,DE,0
92,2021,MI,0,0,1450000,INR,19609,IN,100,IN,2
93,2021,SE,0,5,276000,USD,276000,US,0,US,2
94,2021,EN,0,7,2200000,INR,29751,IN,50,IN,2
95,2021,MI,0,5,120000,SGD,89294,SG,50,SG,2
96,2021,EN,2,7,12000,USD,12000,BR,100,US,0
97,2021,MI,0,0,450000,USD,450000,US,100,US,2
98,2021,EN,0,5,70000,USD,70000,US,100,US,1
99,2021,MI,0,5,81000,EUR,95746,DE,100,US,0
100,2021,MI,0,0,75000,USD,75000,US,0,US,2
101,2021,SE,0,5,150000,USD,150000,US,100,US,2
102,2021,MI,0,0,11000000,HUF,36259,HU,50,US,2
103,2021,MI,0,0,62000,USD,62000,US,0,US,2
104,2021,MI,0,7,73000,USD,73000,US,0,US,2
105,2021,MI,0,0,37456,GBP,51519,GB,50,GB,2
106,2021,MI,0,7,235000,CAD,187442,CA,100,CA,2
107,2021,SE,0,5,115000,USD,115000,US,100,US,0
108,2021,SE,0,5,150000,USD,150000,US,100,US,1
109,2021,EN,0,5,2250000,INR,30428,IN,100,IN,2
110,2021,SE,0,5,80000,EUR,94564,DE,50,DE,2
111,2021,SE,0,5,82500,GBP,113476,GB,100,GB,1
112,2021,SE,0,5,75000,GBP,103160,GB,100,GB,0
113,2021,EN,2,7,12000,USD,12000,PK,100,US,1
114,2021,MI,0,5,38400,EUR,45391,NL,100,NL,2
115,2021,EN,0,7,225000,USD,225000,US,100,US,2
116,2021,MI,0,7,50000,USD,50000,NG,100,NG,2
117,2021,MI,0,5,34000,EUR,40189,GR,100,GR,1
118,2021,EN,0,0,90000,USD,90000,US,100,US,0
119,2021,MI,0,5,200000,USD,200000,US,100,US,2
120,2021,MI,0,5,60000,USD,60000,ES,50,RO,1
121,2021,SE,0,5,200000,USD,200000,US,100,US,1
122,2021,EN,0,0,50000,USD,50000,US,100,US,1
123,2021,EN,0,7,80000,GBP,110037,GB,0,GB,2
124,2021,EN,2,0,8760,EUR,10354,ES,50,ES,1
125,2021,MI,0,7,151000,USD,151000,US,100,US,2
126,2021,SE,0,7,120000,USD,120000,US,50,US,0
127,2021,MI,0,7,700000,INR,9466,IN,0,IN,0
128,2021,EN,0,5,20000,USD,20000,IN,100,IN,0
129,2021,SE,0,7,3000000,INR,40570,IN,50,IN,2
130,2021,EN,0,4,100000,USD,100000,IQ,50,IQ,0
131,2021,EN,0,7,42000,EUR,49646,FR,50,FR,1
132,2021,MI,0,7,38400,USD,38400,VN,100,US,1
133,2021,SE,0,5,24000,USD,24000,BR,100,BR,1
134,2021,EN,0,7,100000,USD,100000,US,0,US,0
135,2021,MI,0,0,90000,USD,90000,US,100,US,1
136,2021,MI,0,5,7000000,JPY,63711,JP,50,JP,0
137,2021,MI,0,5,8500000,JPY,77364,JP,50,JP,0
138,2021,SE,0,7,220000,USD,220000,US,0,US,2
139,2021,EN,0,7,80000,USD,80000,US,100,US,1
140,2021,MI,0,0,135000,USD,135000,US,100,US,2
141,2021,SE,0,6,240000,USD,240000,US,0,US,2
142,2021,SE,0,6,150000,USD,150000,US,0,US,2
143,2021,MI,0,7,82500,USD,82500,US,100,US,0
144,2021,MI,0,5,100000,USD,100000,US,100,US,2
145,2021,SE,0,5,70000,EUR,82744,BE,50,BE,1
146,2021,MI,0,7,53000,EUR,62649,FR,50,FR,1
147,2021,MI,0,5,90000,USD,90000,US,100,US,2
148,2021,SE,0,6,153000,USD,153000,US,100,US,2
149,2021,SE,0,5,160000,USD,160000,BR,100,US,0
150,2021,SE,0,7,168000,USD,168000,JP,0,JP,0
151,2021,MI,0,7,150000,USD,150000,US,100,US,1
152,2021,MI,0,7,95000,CAD,75774,CA,100,CA,2
153,2021,EN,0,7,13400,USD,13400,UA,100,UA,2
154,2021,SE,0,6,144000,USD,144000,US,100,US,2
155,2021,SE,0,5,159500,CAD,127221,CA,50,CA,2
156,2021,MI,0,7,160000,SGD,119059,SG,100,IL,1
157,2021,MI,0,7,423000,USD,423000,US,50,US,2
158,2021,SE,0,6,120000,USD,120000,US,100,US,1
159,2021,EN,0,5,125000,USD,125000,US,100,US,0
160,2021,EX,0,3,230000,USD,230000,RU,50,RU,2
161,2021,EX,0,7,85000,USD,85000,RU,0,RU,1
162,2021,MI,0,5,24000,EUR,28369,MT,50,MT,2
163,2021,EN,0,2,54000,EUR,63831,DE,50,DE,2
164,2021,EX,0,7,110000,EUR,130026,DE,50,DE,1
165,2021,SE,0,3,165000,USD,165000,US,100,US,2
166,2021,EN,0,5,80000,USD,80000,US,100,US,2
167,2021,EX,0,7,250000,USD,250000,US,0,US,2
168,2021,EN,0,0,55000,USD,55000,US,50,US,0
169,2021,MI,0,1,150000,USD,150000,US,100,US,2
170,2021,MI,0,1,170000,USD,170000,US,100,US,2
171,2021,MI,0,5,60000,GBP,82528,GB,100,GB,2
172,2021,EN,0,0,60000,USD,60000,US,100,US,0
173,2021,SE,0,7,235000,USD,235000,US,100,US,2
174,2021,SE,0,7,51400,EUR,60757,2,50,2,2
175,2021,SE,0,6,174000,USD,174000,US,100,US,2
176,2021,MI,0,7,58000,MXN,2859,MX,0,MX,0
177,2021,MI,0,7,30400000,CLP,40038,CL,100,CL,2
178,2021,EN,0,5,81000,USD,81000,US,50,US,0
179,2021,MI,0,7,420000,INR,5679,IN,100,US,0
180,2021,MI,0,5,1672000,INR,22611,IN,0,IN,2
181,2021,MI,0,7,76760,EUR,90734,DE,50,DE,2
182,2021,MI,0,5,22000,EUR,26005,RO,0,US,2
183,2021,SE,0,0,45000,GBP,61896,GB,50,GB,2
184,2021,MI,3,7,12000,USD,12000,PK,50,PK,1
185,2021,MI,0,5,4000,USD,4000,IR,100,IR,1
186,2021,SE,0,5,50000,USD,50000,VN,100,GB,1
187,2021,EX,0,2,59000,EUR,69741,FR,100,ES,0
188,2021,SE,0,5,65000,EUR,76833,RO,50,GB,0
189,2021,MI,0,5,74000,USD,74000,JP,50,JP,0
190,2021,SE,0,6,152000,USD,152000,US,100,FR,2
191,2021,EN,0,5,21844,USD,21844,CO,50,CO,1
192,2021,MI,0,5,18000,USD,18000,MD,0,MD,0
193,2021,SE,0,6,174000,USD,174000,US,100,US,2
194,2021,SE,0,7,120500,CAD,96113,CA,50,CA,2
195,2021,MI,0,7,147000,USD,147000,US,50,US,2
196,2021,EN,0,0,9272,USD,9272,KE,100,KE,0
197,2021,SE,0,5,1799997,INR,24342,IN,100,IN,2
198,2021,SE,0,6,4000000,INR,54094,IN,50,US,2
199,2021,EN,0,2,90000,USD,90000,US,100,US,0
200,2021,MI,0,7,52000,EUR,61467,DE,50,AT,1
201,2021,SE,0,5,195000,USD,195000,US,100,US,1
202,2021,MI,0,7,32000,EUR,37825,ES,100,ES,2
203,2021,SE,0,7,50000,USD,50000,FR,100,US,0
204,2021,MI,0,7,160000,USD,160000,US,100,US,2
205,2021,MI,0,7,69600,BRL,12901,BR,0,BR,0
206,2021,SE,0,5,200000,USD,200000,US,100,US,2
207,2021,SE,0,5,165000,USD,165000,US,0,US,1
208,2021,MI,3,5,20000,USD,20000,IT,0,US,2
209,2021,SE,0,6,120000,USD,120000,US,0,US,2
210,2021,MI,0,5,21000,EUR,24823,SI,50,SI,2
211,2021,MI,0,7,48000,EUR,56738,FR,50,FR,0
212,2021,MI,0,5,48000,GBP,66022,HK,50,GB,0
213,2021,EN,0,5,435000,INR,5882,IN,0,CH,2
214,2021,EN,0,5,21000,EUR,24823,DE,50,DE,1
215,2021,SE,0,5,185000,USD,185000,US,100,US,2
216,2021,EN,2,5,180000,DKK,28609,DK,50,DK,0
217,2021,MI,0,7,76760,EUR,90734,DE,50,DE,2
218,2021,MI,0,5,75000,EUR,88654,BE,100,BE,1
219,2021,SE,0,6,140000,USD,140000,US,100,US,2
220,2021,MI,0,5,180000,PLN,46597,PL,100,PL,2
221,2021,MI,0,7,85000,GBP,116914,GB,50,GB,2
222,2021,MI,0,7,2500000,INR,33808,IN,0,IN,1
223,2021,MI,0,7,40900,GBP,56256,GB,50,GB,2
224,2021,SE,0,7,225000,USD,225000,US,100,CA,2
225,2021,EX,1,7,416000,USD,416000,US,100,US,0
226,2021,SE,0,7,110000,CAD,87738,CA,100,CA,0
227,2021,MI,0,7,75000,EUR,88654,DE,50,DE,2
228,2021,SE,0,7,135000,USD,135000,US,0,US,2
229,2021,SE,0,0,90000,CAD,71786,CA,100,CA,1
230,2021,EN,0,5,1200000,INR,16228,IN,100,IN,2
231,2021,SE,0,5,256000,USD,256000,US,100,US,0
232,2021,SE,0,5,200000,USD,200000,US,100,US,2
233,2021,SE,0,0,200000,USD,200000,US,100,US,2
234,2021,MI,0,1,180000,USD,180000,US,100,US,2
235,2021,MI,0,7,110000,USD,110000,US,0,US,0
236,2021,MI,0,7,80000,CAD,63810,CA,100,CA,1
237,2021,MI,0,7,39600,EUR,46809,ES,100,ES,1
238,2021,EN,0,7,4000,USD,4000,VN,0,VN,1
239,2021,EN,0,5,1600000,INR,21637,IN,50,IN,1
240,2021,SE,0,7,130000,CAD,103691,CA,100,CA,2
241,2021,MI,0,0,80000,USD,80000,US,100,US,2
242,2021,MI,0,5,110000,USD,110000,US,100,US,2
243,2021,SE,0,7,165000,USD,165000,US,100,US,2
244,2021,EN,0,7,1335000,INR,18053,IN,100,AS,0
245,2021,MI,0,5,52500,GBP,72212,GB,50,GB,2
246,2021,EN,0,7,31000,EUR,36643,FR,50,FR,2
247,2021,MI,0,5,108000,TRY,12103,TR,0,TR,1
248,2021,SE,0,5,70000,GBP,96282,GB,50,GB,2
249,2021,SE,0,0,170000,USD,170000,US,100,US,1
250,2021,MI,0,7,115000,USD,115000,US,50,US,2
251,2021,EN,0,7,90000,USD,90000,US,100,US,0
252,2021,EX,0,5,600000,USD,600000,US,100,US,2
253,2021,EN,0,7,2100000,INR,28399,IN,100,IN,1
254,2021,MI,0,0,93000,USD,93000,US,100,US,2
255,2021,SE,0,1,125000,CAD,99703,CA,50,CA,1
256,2021,MI,0,5,200000,USD,200000,US,100,US,2
257,2021,SE,0,7,147000,EUR,173762,DE,100,DE,1
258,2021,SE,0,5,185000,USD,185000,US,50,US,2
259,2021,EX,0,7,120000,EUR,141846,DE,0,DE,2
260,2021,MI,0,7,130000,USD,130000,US,50,US,2
261,2021,SE,0,0,54000,EUR,63831,DE,50,DE,2
262,2021,MI,0,7,1250000,INR,16904,IN,100,IN,0
263,2021,SE,0,5,4900000,INR,66265,IN,0,IN,2
264,2021,MI,0,7,21600,EUR,25532,RS,100,DE,0
265,2021,SE,0,5,160000,USD,160000,PR,50,US,0
266,2021,MI,0,5,93150,USD,93150,US,0,US,1
267,2021,MI,0,5,111775,USD,111775,US,0,US,1
268,2021,MI,0,5,250000,TRY,28016,TR,100,TR,1
269,2021,EN,0,5,55000,EUR,65013,DE,50,DE,1
270,2021,EN,0,5,72500,USD,72500,US,100,US,2
271,2021,SE,0,5,102000,BRL,18907,BR,0,BR,1
272,2021,EN,0,2,65000,EUR,76833,DE,0,DE,2
273,2021,EN,0,5,85000,USD,85000,NL,100,DE,0
274,2021,SE,0,7,65720,EUR,77684,FR,50,FR,1
275,2021,EN,0,7,100000,USD,100000,US,100,US,1
276,2021,EN,0,7,58000,USD,58000,US,50,US,2
277,2021,SE,0,7,55000,USD,55000,ES,100,ES,2
278,2021,SE,0,7,180000,TRY,20171,TR,50,TR,2
279,2021,EN,0,0,50000,EUR,59102,LU,100,LU,2
280,2021,MI,0,5,112000,USD,112000,US,100,US,2
281,2021,EN,0,7,100000,USD,100000,JE,0,CN,2
282,2021,MI,2,5,59000,EUR,69741,NL,100,NL,2
283,2021,SE,1,7,105000,USD,105000,US,100,US,1
284,2021,MI,0,7,69999,USD,69999,CZ,50,CZ,2
285,2021,SE,0,6,7000000,INR,94665,IN,50,IN,2
286,2021,SE,0,3,87000,EUR,102839,SI,100,SI,2
287,2021,MI,0,7,109000,USD,109000,US,50,US,2
288,2021,MI,0,5,43200,EUR,51064,IT,50,IT,2
289,2022,SE,0,5,135000,USD,135000,US,100,US,1
290,2022,SE,0,0,155000,USD,155000,US,100,US,1
291,2022,SE,0,0,120600,USD,120600,US,100,US,1
292,2022,MI,0,7,130000,USD,130000,US,0,US,1
293,2022,MI,0,7,90000,USD,90000,US,0,US,1
294,2022,MI,0,5,170000,USD,170000,US,100,US,1
295,2022,MI,0,5,150000,USD,150000,US,100,US,1
296,2022,SE,0,0,102100,USD,102100,US,100,US,1
297,2022,SE,0,0,84900,USD,84900,US,100,US,1
298,2022,SE,0,7,136620,USD,136620,US,100,US,1
299,2022,SE,0,7,99360,USD,99360,US,100,US,1
300,2022,SE,0,7,90000,GBP,117789,GB,0,GB,1
301,2022,SE,0,7,80000,GBP,104702,GB,0,GB,1
302,2022,SE,0,7,146000,USD,146000,US,100,US,1
303,2022,SE,0,7,123000,USD,123000,US,100,US,1
304,2022,EN,0,5,40000,GBP,52351,GB,100,GB,1
305,2022,SE,0,0,99000,USD,99000,US,0,US,1
306,2022,SE,0,0,116000,USD,116000,US,0,US,1
307,2022,MI,0,0,106260,USD,106260,US,0,US,1
308,2022,MI,0,0,126500,USD,126500,US,0,US,1
309,2022,EX,0,5,242000,USD,242000,US,100,US,1
310,2022,EX,0,5,200000,USD,200000,US,100,US,1
311,2022,MI,0,7,50000,GBP,65438,GB,0,GB,1
312,2022,MI,0,7,30000,GBP,39263,GB,0,GB,1
313,2022,MI,0,5,60000,GBP,78526,GB,0,GB,1
314,2022,MI,0,5,40000,GBP,52351,GB,0,GB,1
315,2022,SE,0,7,165220,USD,165220,US,100,US,1
316,2022,EN,0,5,35000,GBP,45807,GB,100,GB,1
317,2022,SE,0,7,120160,USD,120160,US,100,US,1
318,2022,SE,0,0,90320,USD,90320,US,100,US,1
319,2022,SE,0,5,181940,USD,181940,US,0,US,1
320,2022,SE,0,5,132320,USD,132320,US,0,US,1
321,2022,SE,0,5,220110,USD,220110,US,0,US,1
322,2022,SE,0,5,160080,USD,160080,US,0,US,1
323,2022,SE,0,7,180000,USD,180000,US,0,US,2
324,2022,SE,0,7,120000,USD,120000,US,0,US,2
325,2022,SE,0,0,124190,USD,124190,US,100,US,1
326,2022,EX,0,0,130000,USD,130000,US,100,US,1
327,2022,EX,0,0,110000,USD,110000,US,100,US,1
328,2022,SE,0,0,170000,USD,170000,US,100,US,1
329,2022,MI,0,0,115500,USD,115500,US,100,US,1
330,2022,SE,0,0,112900,USD,112900,US,100,US,1
331,2022,SE,0,0,90320,USD,90320,US,100,US,1
332,2022,SE,0,0,112900,USD,112900,US,100,US,1
333,2022,SE,0,0,90320,USD,90320,US,100,US,1
334,2022,SE,0,5,165400,USD,165400,US,100,US,1
335,2022,SE,0,5,132320,USD,132320,US,100,US,1
336,2022,MI,0,0,167000,USD,167000,US,100,US,1
337,2022,SE,0,5,243900,USD,243900,US,100,US,1
338,2022,SE,0,0,136600,USD,136600,US,100,US,1
339,2022,SE,0,0,109280,USD,109280,US,100,US,1
340,2022,SE,0,5,128875,USD,128875,US,100,US,1
341,2022,SE,0,5,93700,USD,93700,US,100,US,1
342,2022,EX,0,7,224000,USD,224000,US,100,US,1
343,2022,EX,0,7,167875,USD,167875,US,100,US,1
344,2022,EX,0,5,175000,USD,175000,US,100,US,1
345,2022,SE,0,5,156600,USD,156600,US,100,US,1
346,2022,SE,0,5,108800,USD,108800,US,0,US,1
347,2022,SE,0,7,95550,USD,95550,US,0,US,1
348,2022,SE,0,5,113000,USD,113000,US,0,US,2
349,2022,SE,0,0,135000,USD,135000,US,100,US,1
350,2022,SE,0,6,161342,USD,161342,US,100,US,1
351,2022,SE,0,6,137141,USD,137141,US,100,US,1
352,2022,SE,0,7,167000,USD,167000,US,100,US,1
353,2022,SE,0,7,123000,USD,123000,US,100,US,1
354,2022,SE,0,5,60000,GBP,78526,GB,0,GB,1
355,2022,SE,0,5,50000,GBP,65438,GB,0,GB,1
356,2022,SE,0,7,150000,USD,150000,US,0,US,1
357,2022,SE,0,7,211500,USD,211500,US,100,US,1
358,2022,SE,0,1,192400,USD,192400,CA,100,CA,1
359,2022,SE,0,1,90700,USD,90700,CA,100,CA,1
360,2022,SE,0,0,130000,USD,130000,CA,100,CA,1
361,2022,SE,0,0,61300,USD,61300,CA,100,CA,1
362,2022,SE,0,0,130000,USD,130000,CA,100,CA,1
363,2022,SE,0,0,61300,USD,61300,CA,100,CA,1
364,2022,SE,0,5,160000,USD,160000,US,0,US,2
365,2022,SE,0,7,138600,USD,138600,US,100,US,1
366,2022,SE,0,5,136000,USD,136000,US,0,US,1
367,2022,MI,0,0,58000,USD,58000,US,0,US,0
368,2022,EX,0,5,135000,USD,135000,US,100,US,1
369,2022,SE,0,7,170000,USD,170000,US,100,US,1
370,2022,SE,0,7,123000,USD,123000,US,100,US,1
371,2022,SE,0,5,189650,USD,189650,US,0,US,1
372,2022,SE,0,5,164996,USD,164996,US,0,US,1
373,2022,MI,0,4,50000,EUR,54957,GR,0,GR,1
374,2022,MI,0,4,50000,EUR,54957,GR,0,GR,1
375,2022,EX,0,5,150000,CAD,118187,CA,100,CA,0
376,2022,SE,0,0,132000,USD,132000,US,0,US,1
377,2022,SE,0,5,165400,USD,165400,US,100,US,1
378,2022,SE,0,1,208775,USD,208775,US,100,US,1
379,2022,SE,0,1,147800,USD,147800,US,100,US,1
380,2022,SE,0,5,136994,USD,136994,US,100,US,1
381,2022,SE,0,5,101570,USD,101570,US,100,US,1
382,2022,SE,0,0,128875,USD,128875,US,100,US,1
383,2022,SE,0,0,93700,USD,93700,US,100,US,1
384,2022,EX,0,7,6000000,INR,79039,IN,50,IN,2
385,2022,SE,0,5,132320,USD,132320,US,100,US,1
386,2022,EN,0,5,28500,GBP,37300,GB,100,GB,2
387,2022,SE,0,0,164000,USD,164000,US,0,US,1
388,2022,SE,0,5,155000,USD,155000,US,100,US,1
389,2022,MI,0,5,95000,GBP,124333,GB,0,GB,1
390,2022,MI,0,5,75000,GBP,98158,GB,0,GB,1
391,2022,MI,0,7,120000,USD,120000,US,0,US,1
392,2022,SE,0,0,112900,USD,112900,US,100,US,1
393,2022,SE,0,0,90320,USD,90320,US,100,US,1
394,2022,SE,0,6,145000,USD,145000,US,100,US,1
395,2022,SE,0,6,105400,USD,105400,US,100,US,1
396,2022,MI,0,5,80000,EUR,87932,FR,100,DE,1
397,2022,MI,0,5,90000,GBP,117789,GB,0,GB,1
398,2022,SE,0,7,215300,USD,215300,US,100,US,2
399,2022,SE,0,7,158200,USD,158200,US,100,US,2
400,2022,SE,0,5,209100,USD,209100,US,100,US,2
401,2022,SE,0,5,154600,USD,154600,US,100,US,2
402,2022,SE,0,0,115934,USD,115934,US,0,US,1
403,2022,SE,0,0,81666,USD,81666,US,0,US,1
404,2022,SE,0,5,175000,USD,175000,US,100,US,1
405,2022,MI,0,5,75000,GBP,98158,GB,0,GB,1
406,2022,MI,0,0,58000,USD,58000,US,0,US,0
407,2022,SE,0,5,183600,USD,183600,US,100,US,2
408,2022,MI,0,0,40000,GBP,52351,GB,100,GB,1
409,2022,SE,0,7,180000,USD,180000,US,100,US,1
410,2022,MI,0,7,55000,GBP,71982,GB,0,GB,1
411,2022,MI,0,7,35000,GBP,45807,GB,0,GB,1
412,2022,MI,0,5,60000,EUR,65949,GR,100,GR,1
413,2022,MI,0,5,45000,EUR,49461,GR,100,GR,1
414,2022,MI,0,5,60000,GBP,78526,GB,100,GB,1
415,2022,MI,0,5,45000,GBP,58894,GB,100,GB,1
416,2022,SE,0,7,260000,USD,260000,US,100,US,1
417,2022,SE,0,5,60000,USD,60000,AR,100,MX,2
418,2022,MI,0,5,63900,USD,63900,US,0,US,1
419,2022,MI,0,7,160000,USD,160000,US,100,US,2
420,2022,MI,0,7,112300,USD,112300,US,100,US,2
421,2022,MI,0,6,241000,USD,241000,US,100,US,1
422,2022,MI,0,6,159000,USD,159000,US,100,US,1
423,2022,SE,0,7,180000,USD,180000,US,0,US,1
424,2022,SE,0,7,80000,USD,80000,US,0,US,1
425,2022,MI,0,5,82900,USD,82900,US,0,US,1
426,2022,SE,0,5,100800,USD,100800,US,100,US,2
427,2022,MI,0,5,45000,EUR,49461,ES,100,ES,1
428,2022,SE,0,7,140400,USD,140400,US,0,US,2
429,2022,MI,0,0,30000,GBP,39263,GB,100,GB,1
430,2022,MI,0,0,40000,EUR,43966,ES,100,ES,1
431,2022,MI,0,0,30000,EUR,32974,ES,100,ES,1
432,2022,MI,0,5,80000,EUR,87932,ES,100,ES,1
433,2022,MI,0,5,70000,EUR,76940,ES,100,ES,1
434,2022,MI,0,5,80000,GBP,104702,GB,100,GB,1
435,2022,MI,0,5,70000,GBP,91614,GB,100,GB,1
436,2022,MI,0,5,60000,EUR,65949,ES,100,ES,1
437,2022,MI,0,5,80000,EUR,87932,GR,100,GR,1
438,2022,SE,0,5,189650,USD,189650,US,0,US,1
439,2022,SE,0,5,164996,USD,164996,US,0,US,1
440,2022,MI,0,0,40000,EUR,43966,GR,100,GR,1
441,2022,MI,0,0,30000,EUR,32974,GR,100,GR,1
442,2022,MI,0,5,75000,GBP,98158,GB,100,GB,1
443,2022,MI,0,5,60000,GBP,78526,GB,100,GB,1
444,2022,SE,0,7,215300,USD,215300,US,0,US,2
445,2022,MI,0,5,70000,EUR,76940,GR,100,GR,1
446,2022,SE,0,5,209100,USD,209100,US,100,US,2
447,2022,SE,0,5,154600,USD,154600,US,100,US,2
448,2022,SE,0,5,180000,USD,180000,US,100,US,1
449,2022,EN,0,5,20000,EUR,21983,2,100,2,2
450,2022,SE,0,5,80000,USD,80000,US,100,US,1
451,2022,MI,0,4,100000,CAD,78791,CA,100,CA,1
452,2022,EX,0,7,250000,CAD,196979,CA,50,CA,2
453,2022,MI,0,5,120000,USD,120000,US,100,US,0
454,2022,EN,0,5,125000,USD,125000,US,0,US,1
455,2022,MI,0,5,240000,CNY,37236,US,50,US,2
456,2022,SE,0,5,105000,USD,105000,US,100,US,1
457,2022,SE,0,5,80000,EUR,87932,DE,0,DE,1
